Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2015-2016,29,41.9202462,-87.7611,2148 N. Long Ave.,,Chicago,IL,60639,United States of America,Prosser Career Academy H.S,,,Brian Bragg,10/18/2015,10/18/2015,9:00:00,12:30:00,10/18/2015 09:00:00 AM,10/18/2015 12:30:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2015-2016_29,"(41.9202462, -87.7611)",2,19,22615,307,44
2019-2020,83,41.8228,-87.6759,2011 W. Pershing Rd.,,Chicago,IL,60609,United States of America,State Senator Antonio Munoz & National Latino Education Institute,,,,09/13/2019,09/13/2019,10:00:00,14:00:00,09/13/2019 10:00:00 AM,09/13/2019 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_83,"(41.8228, -87.6759)",37,59,14924,706,1
2017-2018,24,41.9311,-87.7596,5319 W. Diversey,,Chicago,IL,60639,United States of America,31st Ward-Regency Inn Banquet,,,,10/20/2017,10/20/2017,10:00:00,14:00:00,10/20/2017 10:00:00 AM,10/20/2017 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_24,"(41.9311, -87.7596)",2,19,22615,79,17
2017-2018,63,41.75953,-87.6694,1818 W. 74th St.,,Chicago,IL,60636,United States of America,Gift From God Ministry Church,,,,10/08/2017,10/08/2017,10:00:00,14:00:00,10/08/2017 10:00:00 AM,10/08/2017 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_63,"(41.75953, -87.6694)",23,65,22257,433,31
2016-2017,80,41.9688122,-87.688439,4801 N LINCOLN AVE,,CHICAGO,IL,60625,United States of America,Walgreens,http://www.Walgreens.com,773-561-2526,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2016-2017_80,"(41.9688122, -87.688439)",20,6,21849,54,18
2016-2017,287,41.8779,-87.63343,175 WEST JACKSON BOULEVARD,,CHICAGO,IL,60604,United States of America,CVS/pharmacy,http://www.cvs.com,312-356-8311,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_287,"(41.8779, -87.63343)",29,38,14912,92,36
2014-2015,110,41.79608859,-87.76174396,5874 S ARCHER AVE,,CHICAGO,IL,60638,United States of America,Walgreens,http://www.Walgreens.com,773-284-7419,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,,,2014-2015_110,"(41.79608859, -87.76174396)",7,53,22268,607,8
2018-2019,187,41.9104,-87.6889,2440 W NORTH AVE,,Chicago,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-489-5607,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2018-2019_187,"(41.9104, -87.6889)",1,25,22535,287,41
2014-2015,72,41.89665694,-87.62406876,757 N MICHIGAN AVE,,CHICAGO,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-664-8686,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,,,2014-2015_72,"(41.89665694, -87.62406876)",6,37,21182,158,11
2014-2015,257,41.91933,-87.69008,2053 NORTH MILWAUKEE AVENUE,,CHICAGO,IL,60647,United States of America,CVS/pharmacy,http://www.cvs.com,773-342-0014,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_257,"(41.91933, -87.69008)",1,23,22535,323,41
2017-2018,55,41.6926,-87.605,727 E. 111th St.,,Chicago,IL,60628,United States of America,Chicago Police Department - 5th District,,,,11/21/2017,11/21/2017,9:00:00,15:00:00,11/21/2017 09:00:00 AM,11/21/2017 03:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_55,"(41.6926, -87.605)",19,47,21861,601,43
2015-2016,230,41.90362,-87.63113,1165 NORTH CLARK STREET,,CHICAGO,IL,60610,United States of America,CVS/pharmacy,http://www.cvs.com,312-280-8140,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_230,"(41.90362, -87.63113)",54,37,14926,310,11
2017-2018,39,41.96736,-87.76199,5363 W. Lawrence,,Chicago,IL,60630,United States of America,45th Ward-Jefferson Park Library,,,,10/20/2017,10/20/2017,10:00:00,14:00:00,10/20/2017 10:00:00 AM,10/20/2017 02:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_39,"(41.96736, -87.76199)",48,15,21869,260,50
2018-2019,259,41.76584,-87.57611,7109 S JEFFERY BLVD,,Chicago,IL,60649,United States of America,Walgreens,http://www.Walgreens.com,773-324-1880,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_259,"(41.76584, -87.57611)",24,39,22538,453,33
2015-2016,301,41.9482,-87.66363,3637 NORTH SOUTHPORT AVENUE,,CHICAGO,IL,60613,United States of America,MinuteClinic Inside CVS/pharmacy Store # 08753,http://www.cvs.com/minuteclinic,866-389-2727,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-530 PM, Sun: 9:00 AM-4:30 PM",,Call for details.,MinuteClinic vaccinates children 18 months or older in most states.,2015-2016_301,"(41.9482, -87.66363)",53,57,21186,728,25
2016-2017,168,41.867291,-87.626941,2 E ROOSEVELT RD,,CHICAGO,IL,60605,United States of America,Walgreens,http://www.Walgreens.com,312-212-1583,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 10:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2016-2017_168,"(41.867291, -87.626941)",35,34,14913,374,9
2015-2016,277,41.96739,-87.7599,4777 NORTH MILWAUKEE AVENUE,,CHICAGO,IL,60630,United States of America,CVS/pharmacy,http://www.cvs.com,773-205-3270,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_277,"(41.96739, -87.7599)",48,15,21869,260,50
2019-2020,189,41.9169,-87.7323,4225 W ARMITAGE AVE,,Chicago,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-235-1123,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_189,"(41.9169, -87.7323)",2,21,22615,135,12
2018-2019,169,41.9175,-87.7056,3110 W ARMITAGE AVE,,Chicago,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-235-6758,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_169,"(41.9175, -87.7056)",1,23,22535,371,40
2017-2018,151,41.79981,-87.59466,1228 E 53RD ST,,Chicago,IL,60615,United States of America,CVS/pharmacy,www.minuteclinic.com,773-752-1425,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_151,"(41.79981, -87.59466)",10,8,21192,499,10
2019-2020,278,41.9395,-87.7135,3424 W BELMONT AVE,,Chicago,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-267-2328,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_278,"(41.9395, -87.7135)",39,22,21538,138,12
2015-2016,75,41.9387724,-87.7686351,5650 W BELMONT AVE,,CHICAGO,IL,60634,United States of America,Walgreens,http://www.Walgreens.com,773-777-4611,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2015-2016_75,"(41.9387724, -87.7686351)",52,15,22254,342,21
2014-2015,281,41.88602,-87.62393,205 N. MICHIGAN AVENUE,,CHICAGO,IL,60601,United States of America,CVS/pharmacy,http://www.cvs.com,312-938-4091,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:30 PM, Tue: 6:30 AM-7:30 PM, Wed: 6:30 AM-7:30 PM, Thu: 6:30 AM-7:30 PM, Fri: 6:30 AM-7:30 PM, Sat:  8:00 AM-4:00 PM, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_281,"(41.88602, -87.62393)",42,38,14309,580,36
2019-2020,225,41.8532,-87.6352,316 W CERMAK RD,,Chicago,IL,60616,United States of America,Walgreens,http://www.Walgreens.com,312-791-392,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_225,"(41.8532, -87.6352)",40,35,21194,3,26
2016-2017,176,41.757226,-87.586265,7544 S STONY ISLAND AVE,,CHICAGO,IL,60649,United States of America,Walgreens,http://www.Walgreens.com,773-667-6959,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_176,"(41.757226, -87.586265)",61,39,22538,188,35
2014-2015,311,41.93547203,-87.66865454,2940 North Ashland Ave,,Chicago,IL,60657,United States of America,Jewel-Osco 3441,http://www.jeweloscopharmacies.com,773-348-4155,,08/12/2014,03/01/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2014-2015_311,"(41.93547203, -87.66865454)",22,57,4449,711,40
2019-2020,19,41.902731,-87.689739,2511 W. Division St.,,Chicago,IL,60622,United States of America,26th Ward Office,,,,10/04/2019,10/04/2019,9:00:00,13:00:00,10/04/2019 09:00:00 AM,10/04/2019 01:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_19,"(41.902731, -87.689739)",4,25,21560,542,49
2017-2018,36,41.88285,-87.63061,77 W. Washington St.,"2nd Floor, James Parlor",Chicago,IL,60602,United States of America,42nd Ward-FUMC Chicago Temple,,,,10/11/2017,10/11/2017,11:00:00,15:00:00,10/11/2017 11:00:00 AM,10/11/2017 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_36,"(41.88285, -87.63061)",41,38,14310,92,36
2018-2019,239,41.67783,-87.68032,11833 S WESTERN AVE,,Chicago,IL,60643,United States of America,Walgreens,http://www.Walgreens.com,773-233-2245,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,,2018-2019_239,"(41.67783, -87.68032)",13,74,22212,378,42
2017-2018,293,41.89499,-87.62151,"251 E HURON STREET, SUITE 2B114",,CHICAGO,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-951-1084,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 7:00 AM-7:30 PM, Sat: 8:00 AM-4:00 PM PM, Sun: 8:00 AM-4:00 PM",,Call for details.,,2017-2018_293,"(41.89499, -87.62151)",6,37,21182,158,36
2018-2019,140,41.89018,-87.63728,344 W HUBBARD ST,,Chicago,IL,60654,United States of America,CVS/pharmacy,https://www.cvs.com/minuteclinic,312-222-2570,,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_140,"(41.89018, -87.63728)",55,37,4446,652,36
2016-2017,6,41.9093,-87.7756,6272 W. North Ave.,,Chicago,IL,60639,United States of America,29th Ward Office,,773-261-4646,Qiana Bradley,09/29/2015,09/29/2015,10:00:00,14:00:00,09/29/2015 10:00:00 AM,09/29/2015 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_6,"(41.9093, -87.7756)",2,26,22615,597,7
2017-2018,230,41.9454,-87.7754,5935 W ADDISON ST,,CHICAGO,IL,60634,United States of America,Walgreens,http://www.Walgreens.com,773-282-1594,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2017-2018_230,"(41.9454, -87.7754)",52,15,22254,342,44
2017-2018,14,41.84209,-87.72483,2708 S. Pulaski Rd.,,Chicago,IL,60623,United States of America,22nd Ward-Toman Library,,,,09/30/2017,09/30/2017,10:00:00,14:00:00,09/30/2017 10:00:00 AM,09/30/2017 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_14,"(41.84209, -87.72483)",57,32,21569,248,28
2015-2016,175,41.691725,-87.700985,3220 W 111TH ST,,CHICAGO,IL,60655,United States of America,Walgreens,http://www.Walgreens.com,773-239-2808,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_175,"(41.691725, -87.700985)",33,73,4447,369,42
2016-2017,106,41.802899,-87.606799,5036 S COTTAGE GROVE AVE,,CHICAGO,IL,60615,United States of America,Walgreens,http://www.Walgreens.com,773-373-6266,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2016-2017_106,"(41.802899, -87.606799)",10,4,21192,165,10
2015-2016,10,41.8558347,-87.6659,1919 S. Ashland Ave.,,Chicago,IL,60608,United States of America,St. Pius V Parish,,312-226-6161,Liz Leon,10/04/2015,10/04/2015,10:00:00,14:00:00,10/04/2015 10:00:00 AM,10/04/2015 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2015-2016_10,"(41.8558347, -87.6659)",43,33,14920,270,26
2019-2020,56,41.6785,-87.665,1700 W. 119th St.,,Chicago,IL,60643,United States of America,BCBSIL Fall Family Festival,,,,10/13/2019,10/13/2019,12:00:00,15:00:00,10/13/2019 12:00:00 PM,10/13/2019 03:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_56,"(41.6785, -87.665)",13,74,22212,378,22
2019-2020,93,41.6891,-87.6209,11255 S. Michigan Ave.,,Chicago,IL,60628,United States of America,Roseland Community WIC,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/immunizations_walk-inclinics.html,773-785-1173,,09/01/2019,09/01/2021,,,,,"Monday, Tuesday, Wednesday","Mondays, Tuesdays, Wednesdays: 8:00 AM to 3:00 PM. Closed 2nd Wed every month 12 to 4 PM.",,"No cost to individual. If insured, insurance will be billed.",,2019-2020_93,"(41.6891, -87.6209)",19,45,21861,253,43
2019-2020,88,41.7807,-87.6465,832 W. 63rd St.,,Chicago,IL,60621,United States of America,Whole Foods,,,,12/07/2019,12/07/2019,9:00:00,14:00:00,12/07/2019 09:00:00 AM,12/07/2019 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_88,"(41.7807, -87.6465)",11,66,21559,22,2
2014-2015,169,41.899966,-87.62833,933 N STATE ST,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-6:00 PM",,,,2014-2015_169,"(41.899966, -87.62833)",54,37,14926,230,11
2019-2020,44,42.007,-87.6732,6907 N. Clark St.,,Chicago,IL,60626,United States of America,49th Ward - Chicago Public Library Rogers Park Branch,,,,11/15/2019,11/15/2019,10:00:00,15:00:00,11/15/2019 10:00:00 AM,11/15/2019 03:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed. Limited amounts of high-dose flu vaccines for seniors may be available throughout the season.�Check https://www.chicago.gov/city/en/depts/cdph/supp_info/health-protection/flu-clinics-in-the-city-of-chicago.html for updates.",,2019-2020_44,"(42.007, -87.6732)",9,10,21853,49,5
2014-2015,165,41.93958895,-87.72518701,3222 N MILWAUKEE AVE,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-481-5876,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM PM, Sun: 8:00 AM-10:00 PM",,,,2014-2015_165,"(41.93958895, -87.72518701)",39,22,21538,138,21
2016-2017,14,41.7662,-87.5687,2325 E. 71st St.,,Chicago,IL,60649,United States of America,5th Ward Office,,773-324-5555,Kimberly A. Webb,10/06/2015,10/06/2015,11:00:00,15:00:00,10/06/2015 11:00:00 AM,10/06/2015 03:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_14,"(41.7662, -87.5687)",24,39,22538,453,33
2019-2020,167,41.7956,-87.588,1554 E 55TH ST,,Chicago,IL,60615,United States of America,Walgreens,http://www.Walgreens.com,773-667-1177,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 8:00 AM-10:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2019-2020_167,"(41.7956, -87.588)",10,8,21192,500,33
2015-2016,261,41.90945,-87.73597,1550 NORTH KOSTNER AVENUE,,CHICAGO,IL,60639,United States of America,CVS/pharmacy,http://www.cvs.com,773-489-7484,,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2015-2016_261,"(41.90945, -87.73597)",5,24,22615,286,49
2018-2019,141,41.70541,-87.72028,3951 W 103RD ST,,Chicago,IL,60655,United States of America,CVS/pharmacy,https://www.cvs.com/minuteclinic,773-881-3359,,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-5:30 PM, Sun: 9:00 AM-4:30 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_141,"(41.70541, -87.72028)",33,73,4447,316,42
2014-2015,189,41.93178352,-87.69796936,2744 N CALIFORNIA AVE,,CHICAGO,IL,60647,United States of America,Walgreens,http://www.Walgreens.com,773-342-2818,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_189,"(41.93178352, -87.69796936)",1,23,22535,548,40
2014-2015,289,41.99383,-87.6608,6150 NORTH BROADWAY,,CHICAGO,IL,60660,United States of America,MinuteClinic Inside CVS/pharmacy Store # 08747,http://www.cvs.com/minuteclinic,866-389-2727,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:30 AM-7:30 PM, Tue: 8:30 AM-7:30 PM, Wed: 8:30 AM-7:30 PM, Thu: 8:30 AM-7:30 PM, Fri: 8:30 AM-7:30 PM, Sat: 9:00 AM-530 PM, Sun: 9:00 AM-4:30 PM",,Call for details.,MinuteClinic vaccinates children 18 months or older in most states.,2014-2015_289,"(41.99383, -87.6608)",14,76,4451,536,16
2015-2016,163,41.7780851,-87.7721799,6016 W 63RD ST,,CHICAGO,IL,60638,United States of America,Walgreens,http://www.Walgreens.com,773-788-180,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_163,"(41.7780851, -87.7721799)",7,62,22268,265,15
2019-2020,246,41.8076,-87.7233,3943 W 47TH ST,,Chicago,IL,60632,United States of America,Walgreens,http://www.Walgreens.com,773-927-523,Pharmacy,09/01/2019,09/01/2021,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2019-2020_246,"(41.8076, -87.7233)",56,54,22248,563,8
2017-2018,116,41.90945,-87.73597,1550 NORTH KOSTNER AVENUE,,Chicago,IL,60639,United States of America,CVS/pharmacy,http://www.cvs.com,773-489-7484,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_116,"(41.90945, -87.73597)",5,24,22615,286,49
2014-2015,224,41.89606,-87.6541,771 NORTH OGDEN AVENUE,,CHICAGO,IL,60622,United States of America,CVS/pharmacy,http://www.cvs.com,312-243-5590,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_224,"(41.89606, -87.6541)",49,25,22620,522,46
